emp_no,first_name,last_name,birth_date,from_date,to_date,title
65344,Vatsa,Chandrasekhar,1952-12-09,1985-04-18,1985-04-20,Staff
69112,Saddek,Crabtree,1954-12-21,1985-04-02,1985-08-19,Senior Engineer
71644,Bogdan,Azuma,1954-10-14,1985-05-03,1985-11-01,Senior Staff
73881,Harjit,Peha,1961-05-04,1985-04-23,1985-09-18,Engineer
75459,Goo,Ghalwash,1964-03-06,1985-11-25,1985-12-19,Engineer
76141,Alassane,Dratva,1960-02-28,1985-03-05,1985-08-24,Engineer
77048,Siamak,Valiente,1961-12-22,1985-09-07,1985-10-08,Engineer
77329,Otilia,Reghbati,1963-01-25,1985-08-31,1985-11-22,Senior Engineer
77842,Barna,Khalid,1958-08-13,1985-10-10,1985-12-18,Staff
84316,Hilari,Gerteisen,1957-04-05,1985-11-05,1985-12-03,Technique Leader
84693,Owen,Rikino,1954-01-19,1985-04-23,1985-10-23,Staff
88302,Hsiangchu,Grabner,1957-05-09,1985-04-22,1985-07-26,Senior Staff
88964,Leucio,Ullian,1963-12-25,1985-08-09,1985-12-20,Engineer
89212,Lenore,Eastman,1956-08-10,1985-07-24,1985-08-25,Staff
91764,Seongbae,Servieres,1961-08-13,1985-08-19,1985-10-17,Staff
92539,Hauke,Bouloucos,1962-01-02,1985-03-09,1985-05-05,Staff
94210,Ekawit,Pouyioutas,1954-10-24,1985-09-29,1985-12-22,Senior Staff
94553,Otilia,Basawa,1955-01-14,1985-11-11,1985-11-19,Staff
94974,Kristen,Joslin,1957-10-27,1985-06-30,1985-11-01,Engineer
95625,Bogdan,Negoita,1953-06-26,1985-05-04,1985-05-10,Senior Engineer
100481,Suvo,Pietracaprina,1959-06-19,1985-07-23,1985-12-06,Engineer
101379,Ult,Lienhardt,1952-04-06,1985-10-14,1985-12-10,Senior Staff
101645,Leucio,Sluis,1956-05-26,1985-06-25,1985-12-01,Assistant Engineer
102515,Elvis,Quaggetto,1954-05-05,1985-03-04,1985-10-30,Engineer
102960,Filipe,Rande,1956-11-13,1985-02-23,1985-04-15,Engineer
104380,Unal,Encarnacion,1960-11-15,1985-09-21,1985-12-08,Senior Engineer
105661,Soenke,Sethi,1961-01-06,1985-03-22,1985-06-17,Staff
106473,Niclas,Hiraishi,1956-05-29,1985-06-05,1985-08-31,Technique Leader
107237,Mayuri,Rando,1963-02-04,1985-11-01,1985-11-13,Staff
108955,Xiping,Chleq,1963-06-19,1985-08-26,1985-10-17,Engineer
202815,Nishit,Guerreiro,1958-10-17,1985-04-06,1985-06-15,Senior Staff
203363,Erez,Deverell,1964-01-20,1985-06-16,1985-08-29,Staff
204130,Florina,Hennings,1958-06-29,1985-02-26,1985-10-17,Technique Leader
206783,Lijia,Prampolini,1964-10-30,1985-10-27,1985-12-05,Senior Staff
207831,Mong,Toyoshima,1963-10-22,1985-06-14,1985-11-24,Senior Staff
212758,Phule,Stasinski,1955-11-07,1985-04-22,1985-11-20,Senior Engineer
219909,Deborah,Joslin,1961-07-29,1985-02-16,1985-06-05,Staff
221346,Takahira,Pulkowski,1961-04-01,1985-07-14,1985-10-26,Engineer
222723,Shiv,Piveteau,1953-06-10,1985-04-09,1985-08-07,Engineer
225305,Utpal,Bahk,1957-10-08,1985-03-26,1985-12-26,Assistant Engineer
225868,Theron,Maraist,1960-06-22,1985-04-22,1985-07-23,Engineer
229120,Aimee,Baja,1964-12-16,1985-02-06,1985-02-17,Staff
233167,Rimon,Kolinko,1957-01-13,1985-05-15,1985-06-09,Staff
234330,Claudi,Sewelson,1964-05-22,1985-08-29,1985-09-20,Engineer
239596,Almudena,Takanami,1954-07-04,1985-05-09,1985-06-08,Technique Leader
240368,Ziyad,Ratnakar,1960-02-23,1985-06-28,1985-10-25,Engineer
240463,Lena,Birta,1964-05-28,1985-02-03,1985-04-08,Engineer
240806,Breannda,Serov,1961-12-23,1985-04-16,1985-09-14,Engineer
240918,Christfried,Poehlman,1962-01-13,1985-09-07,1985-11-24,Staff
241434,Nevio,Ladret,1964-06-20,1985-04-15,1985-11-02,Senior Staff
242047,Fuqing,Sidou,1961-11-11,1985-07-23,1985-12-15,Engineer
242149,Masaki,Peak,1952-04-28,1985-06-13,1985-06-22,Staff
242314,Miyeon,Burnard,1965-01-11,1985-02-07,1985-12-13,Engineer
243045,Sugwoo,Ozery,1961-09-03,1985-09-09,1985-11-09,Senior Staff
248228,Ger,Kampfer,1963-04-14,1985-06-23,1985-11-02,Engineer
248508,Thodoros,Schicker,1959-12-31,1985-08-11,1985-11-08,Senior Staff
249972,Jinxi,Peck,1954-03-02,1985-10-03,1985-11-28,Senior Staff
252223,Jacopo,Ebeling,1954-02-19,1985-07-10,1985-09-01,Technique Leader
259426,Aria,Miake,1963-09-05,1985-03-15,1985-12-04,Engineer
260516,Hidekazu,Byoun,1952-07-10,1985-08-31,1985-10-13,Engineer
262843,Jaewon,Matzov,1957-05-14,1985-02-09,1985-07-17,Senior Engineer
262985,Karlis,Zielinski,1958-05-31,1985-09-21,1985-12-25,Engineer
263325,Dinkar,Sinicrope,1965-01-19,1985-07-12,1985-07-14,Staff
264225,Mechthild,Kambil,1956-05-30,1985-08-23,1985-09-04,Technique Leader
264268,Satosi,Cyre,1960-09-07,1985-06-14,1985-08-22,Senior Staff
265122,Guttorm,Atrawala,1958-08-28,1985-06-15,1985-10-06,Engineer
268309,Mrinalini,Hockney,1952-06-22,1985-03-04,1985-04-03,Technique Leader
271967,Tiina,Zeleznik,1961-01-22,1985-10-06,1985-10-24,Senior Engineer
272489,Vugranam,Staudhammer,1956-08-22,1985-05-16,1985-11-12,Senior Staff
273565,DeForest,Billawala,1954-02-02,1985-07-22,1985-09-09,Engineer
274734,Changho,Sury,1961-04-28,1985-06-16,1985-11-14,Staff
277791,Behnaam,Rabehasaina,1956-06-01,1985-03-28,1985-04-21,Engineer
277990,Jianwen,Etalle,1963-03-02,1985-02-04,1985-04-30,Senior Staff
279691,Peternela,Lindenbaum,1952-09-03,1985-04-20,1985-05-11,Senior Staff
281581,Subhankar,Zumaque,1964-01-16,1985-08-07,1985-10-13,Engineer
282648,Kenroku,Cooman,1958-11-28,1985-08-24,1985-08-28,Staff
283835,Sanjeeva,Zeidenstein,1959-08-20,1985-05-08,1985-12-26,Engineer
286974,Licheng,Thummel,1964-05-27,1985-09-04,1985-10-16,Staff
287158,Falguni,Nilsson,1955-07-07,1985-03-17,1985-11-07,Staff
287732,Doohun,Marletta,1963-10-13,1985-04-14,1985-04-17,Staff
288985,Ebru,Schaap,1959-03-24,1985-02-28,1985-07-15,Senior Engineer
289613,Khalil,Narahara,1953-08-06,1985-04-14,1985-08-28,Senior Engineer
293039,Slavian,Vandervoorde,1957-09-10,1985-03-27,1985-05-21,Engineer
294499,Hatem,Syrotiuk,1964-05-16,1985-07-13,1985-07-21,Staff
294952,Kolar,Collette,1958-05-15,1985-04-05,1985-04-18,Engineer
295863,Irena,Pauthner,1961-12-31,1985-08-06,1985-08-19,Engineer
296678,Boutros,McClurg,1955-12-16,1985-05-11,1985-05-23,Staff
299765,Filipe,Bain,1952-08-27,1985-04-24,1985-09-23,Assistant Engineer
404998,Bedrich,Cannard,1955-03-12,1985-04-11,1985-12-12,Senior Engineer
405654,Geoffrey,Strooper,1952-09-17,1985-10-19,1985-11-08,Staff
409897,Mohd,Percebois,1957-06-23,1985-07-06,1985-08-21,Senior Staff
411719,Fumino,Sambasivam,1953-07-12,1985-08-08,1985-11-20,Engineer
412165,Boalin,Ozeki,1958-02-25,1985-06-25,1985-11-16,Staff
414209,Sangeeta,Biron,1960-10-17,1985-08-15,1985-11-09,Assistant Engineer
415039,Chuanyi,Tokunaga,1958-06-06,1985-02-04,1985-09-26,Engineer
415889,Chriss,Thimonier,1960-02-15,1985-03-02,1985-10-07,Staff
416703,Fumitaka,Akiyama,1960-04-07,1985-02-05,1985-11-04,Senior Engineer
419874,Kinh,Zeleznik,1953-07-10,1985-06-27,1985-12-31,Senior Engineer
421971,Chiranjit,Terwilliger,1958-03-24,1985-08-13,1985-12-05,Staff
422252,Uzi,Greibach,1956-04-03,1985-09-16,1985-09-18,Engineer
424155,Chinhyun,Goodrum,1960-03-18,1985-07-16,1985-08-25,Staff
427424,Lucian,Stifter,1964-12-13,1985-09-10,1985-10-19,Senior Staff
429019,Tua,Daescu,1964-08-18,1985-05-02,1985-12-21,Senior Engineer
429589,Janche,Szemeredi,1960-06-22,1985-03-02,1985-08-06,Senior Staff
430619,Poorav,Maierhofer,1954-07-13,1985-02-14,1985-10-08,Staff
433177,Elgin,Ferriere,1958-03-16,1985-08-05,1985-09-25,Senior Staff
434232,Muzhong,Lalonde,1962-07-02,1985-02-26,1985-03-20,Staff
436709,Hongzue,Danlos,1954-08-06,1985-06-24,1985-11-29,Engineer
439069,Sergi,Wendorf,1953-01-28,1985-07-07,1985-08-13,Engineer
442768,Martien,Rande,1956-03-22,1985-07-15,1985-10-30,Engineer
443794,Takahira,Kroll,1955-10-18,1985-08-28,1985-09-28,Senior Staff
445032,Susanne,Huttel,1963-05-12,1985-10-24,1985-12-24,Staff
446769,Masamitsu,Jeansoulin,1960-08-08,1985-08-18,1985-08-19,Staff
451996,Goa,Neimat,1961-10-26,1985-05-24,1985-07-18,Senior Staff
453683,Maya,Morris,1960-05-10,1985-07-29,1985-08-24,Assistant Engineer
454406,Sushant,Skafidas,1964-09-30,1985-09-26,1985-11-04,Staff
458700,Frazer,Cannard,1955-10-02,1985-02-19,1985-11-13,Engineer
459663,Yongdong,Hiyoshi,1953-04-11,1985-07-10,1985-12-16,Staff
461400,Oddvar,Ouhyoung,1955-03-22,1985-08-30,1985-09-08,Engineer
461763,Arunachalam,Marsiglia,1954-04-29,1985-03-04,1985-08-20,Engineer
464017,Zine,Kusakari,1961-07-28,1985-03-11,1985-05-05,Senior Engineer
467309,Krassimir,Raczkowsky,1955-10-07,1985-02-12,1985-11-11,Technique Leader
467707,Xiaoqiang,Speckmann,1952-02-15,1985-06-01,1985-09-23,Engineer
472597,Vugranam,Garrabrants,1955-03-25,1985-07-24,1985-11-24,Engineer
473204,Arunachalam,Masaki,1954-02-07,1985-04-16,1985-06-01,Senior Engineer
474918,Rasikan,Khalil,1965-01-15,1985-02-10,1985-03-11,Engineer
478109,Rasiah,Tischendorf,1961-09-20,1985-03-26,1985-07-13,Engineer
482781,Volkmar,Marsiglia,1958-07-15,1985-12-16,1985-12-25,Staff
484945,Cordelia,Zallocco,1958-06-17,1985-09-29,1985-10-01,Senior Engineer
485538,Yechezkel,Meriste,1959-01-15,1985-10-05,1985-12-20,Senior Staff
487681,Faiza,Klassen,1953-05-09,1985-07-08,1985-10-31,Staff
488120,Huican,Zizka,1960-09-26,1985-04-06,1985-09-18,Engineer
489521,Premal,Gips,1959-12-20,1985-05-14,1985-08-22,Senior Staff
490603,Ennio,Pettis,1964-01-03,1985-02-28,1985-12-18,Engineer
492032,Temple,Heemskerk,1957-11-01,1985-09-11,1985-11-04,Senior Staff
492585,Ferdinand,Syrotiuk,1958-07-07,1985-08-12,1985-12-07,Staff
496281,Keiichiro,Deyuan,1962-02-20,1985-04-05,1985-11-17,Assistant Engineer
498358,Nobuyoshi,Peltason,1960-01-31,1985-09-30,1985-11-08,Senior Staff
498699,Hilari,Zeleznik,1953-04-22,1985-09-25,1985-09-28,Engineer
